"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"North Sydney","Eligible participants",1144,3477,4589,5412,5663,5335,5143,4549,4300,3973,3690,3030,2088,1488,2102,55983,108017
"North Sydney","Participation rate (%)",89.1,85.5,83.2,81.2,81.4,82.4,85.3,86.2,88.1,89.5,90.4,90.7,90.8,87.1,81.4,85.5,83.8
"Page","Total participants",1183,2456,2408,2549,2877,3325,3978,4325,5262,5335,4862,3846,2815,1953,2054,49228,93961
"Page","Eligible participants",1600,3643,3522,3610,3985,4476,5051,5321,6155,6102,5380,4238,3116,2263,2493,60955,119606
"Page","Participation rate (%)",73.9,67.4,68.4,70.6,72.2,74.3,78.8,81.3,85.5,87.4,90.4,90.8,90.3,86.3,82.4,80.8,78.6
"Parkes","Total participants",944,2618,2906,2884,2586,2770,3173,3500,3972,3618,3299,2951,2357,1602,1530,40710,78757
"Parkes","Eligible participants",1355,4299,4621,4353,3945,3988,4481,4600,4974,4352,3853,3338,2674,1889,1958,54681,108534
"Parkes","Participation rate (%)",69.7,60.9,62.9,66.3,65.6,69.5,70.8,76.1,79.9,83.1,85.6,88.4,88.1,84.8,78.1,74.4,72.6
"Parramatta","Total participants",1095,2999,3149,3749,3589,3426,3437,3308,3269,2878,2354,1930,1501,1059,1105,38848,76534
"Parramatta","Eligible participants",1351,4002,4384,5488,5225,4654,4446,4159,4004,3502,2763,2225,1729,1286,1441,50659,102291
"Parramatta","Participation rate (%)",81.1,74.9,71.8,68.3,68.7,73.6,77.3,79.5,81.6,82.2,85.2,86.7,86.8,82.3,76.7,76.7,74.8
"Paterson","Total participants",1352,3371,3475,3449,3314,3568,3953,3894,4398,4333,4398,3719,2404,1682,1537,48847,93253
"Paterson","Eligible participants",1696,4613,4833,4707,4495,4652,4912,4694,5092,4892,4808,4035,2667,1896,1887,59879,117517
"Paterson","Participation rate (%)",79.7,73.1,71.9,73.3,73.7,76.7,80.5,83,86.4,88.6,91.5,92.2,90.1,88.7,81.5,81.6,79.4
"Reid","Total participants",1059,3183,3347,3830,3759,3757,3920,3745,3696,3325,2920,2344,1703,1317,1525,43430,82831
"Reid","Eligible participants",1289,4039,4461,5337,5069,4857,4947,4683,4512,3916,3352,2637,1976,1566,1928,54569,106617
"Reid","Participation rate (%)",82.2,78.8,75,71.8,74.2,77.4,79.2,80,81.9,84.9,87.1,88.9,86.2,84.1,79.1,79.6,77.7
"Richmond","Total participants",1065,2354,2341,2733,3083,3551,4204,4163,5036,5155,4750,3938,2868,2219,2293,49753,92490
"Richmond","Eligible participants",1319,3118,3157,3641,4015,4613,5200,5067,5928,5848,5301,4357,3189,2565,2915,60233,115209
"Richmond","Participation rate (%)",80.7,75.5,74.2,75.1,76.8,77,80.8,82.2,85,88.1,89.6,90.4,89.9,86.5,78.7,82.6,80.3
"Riverina","Total participants",1184,3009,2965,2919,2827,3164,3617,3691,4289,4027,3963,3299,2666,1907,1948,45475,86906
"Riverina","Eligible participants",1620,4564,4330,4086,4013,4205,4596,4559,5074,4598,4443,3648,2961,2177,2491,57365,112538
"Riverina","Participation rate (%)",73.1,65.9,68.5,71.4,70.4,75.2,78.7,81,84.5,87.6,89.2,90.4,90,87.6,78.2,79.3,77.2
"Robertson","Total participants",1270,3039,2813,2878,3064,3275,3807,3977,4365,4253,4122,3730,2723,2048,2268,47632,89534
"Robertson","Eligible participants",1534,3928,3653,3672,3909,4199,4713,4700,5070,4777,4567,4071,3007,2342,2801,56943,109965
"Robertson","Participation rate (%)",82.8,77.4,77,78.4,78.4,78,80.8,84.6,86.1,89,90.3,91.6,90.6,87.4,81,83.6,81.4
"Shortland","Total participants",1287,3223,2963,3195,3137,3344,3970,3985,4369,4318,4184,3958,2821,2006,1926,48686,92546
"Shortland","Eligible participants",1561,4099,3823,4038,4027,4244,4788,4665,4988,4776,4613,4277,3094,2249,2312,57554,112221
"Shortland","Participation rate (%)",82.4,78.6,77.5,79.1,77.9,78.8,82.9,85.4,87.6,90.4,90.7,92.5,91.2,89.2,83.3,84.6,82.5
"Sydney","Total participants",696,3440,6405,6485,4908,3629,3285,2781,2746,2479,2086,1539,959,660,607,42705,91150
"Sydney","Eligible participants",840,4172,7693,8046,6237,4532,3993,3350,3255,2950,2421,1771,1178,871,877,52186,113243
"Sydney","Participation rate (%)",82.9,82.5,83.3,80.6,78.7,80.1,82.3,83,84.4,84,86.2,86.9,81.4,75.8,69.2,81.8,80.5
"Warringah","Total participants",1209,2901,3018,3643,4114,4480,4701,4215,3762,3187,3126,2739,1951,1294,1638,45978,86831
"Warringah","Eligible participants",1361,3380,3628,4392,5027,5407,5519,4871,4268,3603,3451,3003,2148,1459,2056,53573,103461
