"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Lindsay","Participation rate (%)",71,67,65.9,65.5,67.4,69.2,72.7,76.8,80.2,84.3,88,90.1,89.3,88.1,82,74.1,76.5
"Lyne","Total participants",981,2018,1809,1866,1970,2445,3011,3431,4300,4830,5427,5049,3327,2147,1590,44201,93271
"Lyne","Eligible participants",1380,3185,2831,2814,2988,3514,4162,4450,5258,5642,6038,5494,3636,2371,1871,55634,114697
"Lyne","Participation rate (%)",71.1,63.4,63.9,66.3,65.9,69.6,72.3,77.1,81.8,85.6,89.9,91.9,91.5,90.6,85,79.4,81.3
"Macarthur","Total participants",1209,3522,3501,3667,3360,3418,3216,3256,3676,3289,2903,2077,1209,698,407,39408,83458
"Macarthur","Eligible participants",1709,5394,5392,5528,5095,4927,4450,4285,4512,3925,3344,2355,1382,799,516,53613,110729
"Macarthur","Participation rate (%)",70.7,65.3,64.9,66.3,65.9,69.4,72.3,76,81.5,83.8,86.8,88.2,87.5,87.4,78.9,73.5,75.4
"Mackellar","Total participants",1234,3179,2539,2461,3054,3736,4131,3937,3925,3506,3276,3035,2312,1380,1268,42973,91888
"Mackellar","Eligible participants",1546,4102,3481,3285,4069,4838,5200,4818,4679,3992,3665,3338,2490,1545,1465,52513,109388
"Mackellar","Participation rate (%)",79.8,77.5,72.9,74.9,75.1,77.2,79.4,81.7,83.9,87.8,89.4,90.9,92.9,89.3,86.6,81.8,84
"Macquarie","Total participants",1229,3100,2726,2775,2920,3141,3749,3673,4026,3808,3587,2829,1708,1032,725,41028,88193
"Macquarie","Eligible participants",1579,4306,3902,3783,3928,4230,4753,4573,4763,4338,3990,3109,1860,1145,844,51103,106683
"Macquarie","Participation rate (%)",77.8,72,69.9,73.4,74.3,74.3,78.9,80.3,84.5,87.8,89.9,91,91.8,90.1,85.9,80.3,82.7
"McMahon","Total participants",1163,3555,3394,3144,3270,3191,3335,3514,3652,3249,2896,2291,1576,940,719,39889,83355
"McMahon","Eligible participants",1562,4953,4805,4578,4732,4475,4429,4495,4523,3898,3392,2585,1761,1094,891,52173,107076
"McMahon","Participation rate (%)",74.5,71.8,70.6,68.7,69.1,71.3,75.3,78.2,80.7,83.4,85.4,88.6,89.5,85.9,80.7,76.5,77.8
"Mitchell","Total participants",1304,3471,2597,2674,3417,3951,4114,3768,3560,3195,2901,2551,1635,923,649,40710,85940
"Mitchell","Eligible participants",1687,4619,3624,3733,4705,5261,5216,4642,4240,3641,3244,2755,1772,1032,770,50941,105376
"Mitchell","Participation rate (%)",77.3,75.1,71.7,71.6,72.6,75.1,78.9,81.2,84,87.8,89.4,92.6,92.3,89.4,84.3,79.9,81.6
"Newcastle","Total participants",1210,4183,4429,3896,3578,3469,3671,3518,3827,3626,3062,2455,1660,1117,1052,44753,95389
"Newcastle","Eligible participants",1581,5789,5948,5232,4741,4555,4714,4405,4570,4155,3417,2695,1836,1232,1235,56105,115359
"Newcastle","Participation rate (%)",76.5,72.3,74.5,74.5,75.5,76.2,77.9,79.9,83.7,87.3,89.6,91.1,90.4,90.7,85.2,79.8,82.7
"New England","Total participants",1002,2486,2329,2381,2228,2625,3146,3422,3898,4084,3984,3419,2454,1518,1065,40041,85188
"New England","Eligible participants",1523,4210,3941,3827,3584,3903,4388,4478,4864,4895,4511,3809,2705,1700,1244,53582,110769
"New England","Participation rate (%)",65.8,59,59.1,62.2,62.2,67.3,71.7,76.4,80.1,83.4,88.3,89.8,90.7,89.3,85.6,74.7,76.9
"North Sydney","Total participants",940,2729,3373,3955,4159,4008,3829,3536,3329,3041,2872,2472,1635,1007,989,41874,90479
"North Sydney","Eligible participants",1175,3473,4389,5184,5492,5087,4682,4253,3906,3468,3230,2712,1795,1125,1174,51145,108017
"North Sydney","Participation rate (%)",80,78.6,76.9,76.3,75.7,78.8,81.8,83.1,85.2,87.7,88.9,91.2,91.1,89.5,84.2,81.9,83.8
"Page","Total participants",1065,2357,2108,2216,2410,2869,3380,3804,4707,5021,4888,3819,2615,1704,1309,44272,93961
"Page","Eligible participants",1555,3872,3418,3496,3695,4179,4730,5048,5874,5985,5605,4273,2906,1908,1557,58101,119606
"Page","Participation rate (%)",68.5,60.9,61.7,63.4,65.2,68.7,71.5,75.4,80.1,83.9,87.2,89.4,90,89.3,84.1,76.2,78.6
"Parkes","Total participants",877,2385,2529,2426,2256,2423,2997,3274,3914,3774,3493,2922,2126,1366,1016,37778,78757
"Parkes","Eligible participants",1387,4298,4470,4049,3727,3886,4510,4562,5187,4649,4123,3387,2457,1592,1236,53520,108534
"Parkes","Participation rate (%)",63.2,55.5,56.6,59.9,60.5,62.4,66.5,71.8,75.5,81.2,84.7,86.3,86.5,85.8,82.2,70.6,72.6
"Parramatta","Total participants",998,2912,2990,3752,3725,3417,3196,3140,3176,2790,2295,1860,1343,932,743,37269,76534
"Parramatta","Eligible participants",1304,4101,4440,5893,5912,5003,4430,4177,4065,3411,2747,2128,1521,1082,924,51138,102291
"Parramatta","Participation rate (%)",76.5,71,67.3,63.7,63,68.3,72.1,75.2,78.1,81.8,83.5,87.4,88.3,86.1,80.4,72.9,74.8
"Paterson","Total participants",1166,3026,3141,3200,3100,3285,3566,3579,3864,3894,3908,3568,2308,1349,925,43879,93253
"Paterson","Eligible participants",1628,4568,4748,4694,4547,4692,4808,4593,4748,4517,4387,3910,2523,1502,1105,56970,117517
"Paterson","Participation rate (%)",71.6,66.2,66.2,68.2,68.2,70,74.2,77.9,81.4,86.2,89.1,91.3,91.5,89.8,83.7,77,79.4
"Reid","Total participants",950,2782,3256,3685,3497,3348,3382,3324,3394,2904,2631,2097,1528,1077,990,38845,82831
"Reid","Eligible participants",1216,3972,4788,5546,5133,4629,4467,4257,4208,3551,3045,2377,1741,1261,1205,51396,106617
"Reid","Participation rate (%)",78.1,70,68,66.4,68.1,72.3,75.7,78.1,80.7,81.8,86.4,88.2,87.8,85.4,82.2,75.6,77.7
"Richmond","Total participants",919,2125,2034,2263,2466,2847,3315,3468,4188,4385,4558,3684,2540,1752,1631,42175,92490
"Richmond","Eligible participants",1303,3184,3019,3334,3627,4090,4520,4560,5278,5269,5232,4114,2837,1989,1935,54291,115209
"Richmond","Participation rate (%)",70.5,66.7,67.4,67.9,68,69.6,73.3,76.1,79.3,83.2,87.1,89.5,89.5,88.1,84.3,77.7,80.3
"Riverina","Total participants",1009,2764,2602,2508,2502,2789,3128,3463,4058,3974,3895,3299,2355,1507,1242,41095,86906
"Riverina","Eligible participants",1524,4569,4241,3936,3906,4026,4407,4561,4989,4677,4484,3653,2592,1714,1488,54767,112538
"Riverina","Participation rate (%)",66.2,60.5,61.4,63.7,64.1,69.3,71,75.9,81.3,85,86.9,90.3,90.9,87.9,83.5,75,77.2
"Robertson","Total participants",1036,2945,2617,2613,2656,2918,3241,3462,3807,3692,3561,3351,2344,1498,1456,41197,89534
"Robertson","Eligible participants",1410,4162,3832,3708,3658,4047,4372,4383,4585,4306,4044,3699,2576,1675,1738,52195,109965
"Robertson","Participation rate (%)",73.5,70.8,68.3,70.5,72.6,72.1,74.1,79,83,85.7,88.1,90.6,91,89.4,83.8,78.9,81.4
"Shortland","Total participants",1201,3228,2718,2901,2852,3016,3541,3460,3985,3876,3662,3428,2441,1646,1240,43195,92546
"Shortland","Eligible participants",1552,4418,3835,4031,3924,4121,4628,4402,4786,4426,4045,3777,2643,1830,1461,53879,112221
"Shortland","Participation rate (%)",77.4,73.1,70.9,72,72.7,73.2,76.5,78.6,83.3,87.6,90.5,90.8,92.4,89.9,84.9,80.2,82.5
"Sydney","Total participants",437,2624,6472,7200,6093,4787,4430,3734,3260,2671,2235,1615,983,648,419,47608,91150
"Sydney","Eligible participants",575,3532,8100,9327,8044,6165,5465,4548,3948,3205,2635,1906,1185,811,614,60060,113243
"Sydney","Participation rate (%)",76,74.3,79.9,77.2,75.7,77.6,81.1,82.1,82.6,83.3,84.8,84.7,83,79.9,68.2,79.3,80.5
"Warringah","Total participants",1057,2681,2712,3050,3648,3920,4071,3782,3504,2977,2674,2414,1619,1079,1054,40242,86831
"Warringah","Eligible participants",1276,3382,3567,4035,4723,5110,5130,4535,4134,3427,2998,2644,1778,1199,1226,49164,103461
"Warringah","Participation rate (%)",82.8,79.3,76,75.6,77.2,76.7,79.4,83.4,84.8,86.9,89.2,91.3,91.1,90,86,81.9,83.9
"Watson","Total participants",1156,3420,3025,3397,3505,3382,3369,3714,3354,2918,2525,2131,1669,1163,927,39655,82280
"Watson","Eligible participants",1525,4728,4334,4904,5015,4612,4538,4785,4368,3656,3084,2522,1961,1383,1213,52628,106914
"Watson","Participation rate (%)",75.8,72.3,69.8,69.3,69.9,73.3,74.2,77.6,76.8,79.8,81.9,84.5,85.1,84.1,76.4,75.3,77
"Wentworth","Total participants",826,2285,3421,4215,4339,3881,3735,3242,3060,2618,2610,2155,1427,938,1023,39775,85851
"Wentworth","Eligible participants",991,2927,4388,5512,5692,5073,4734,3943,3628,3016,2993,2443,1626,1095,1284,49345,103972
"Wentworth","Participation rate (%)",83.4,78.1,78,76.5,76.2,76.5,78.9,82.2,84.3,86.8,87.2,88.2,87.8,85.7,79.7,80.6,82.6
"Werriwa","Total participants",1455,3970,3364,3249,3387,3525,3807,3906,3719,3092,2514,1818,1189,715,460,40170,83695
"Werriwa","Eligible participants",1993,5758,4989,4953,5180,4996,5205,5234,4815,3815,3008,2130,1408,875,593,54952,112977
"Werriwa","Participation rate (%)",73,68.9,67.4,65.6,65.4,70.6,73.1,74.6,77.2,81,83.6,85.4,84.4,81.7,77.6,73.1,74.1
"Whitlam","Total participants",1212,3148,2816,2951,2934,3136,3542,3657,3928,3672,3771,3392,2431,1596,1139,43325,92717
"Whitlam","Eligible participants",1667,4552,4144,4235,4169,4437,4701,4665,4802,4249,4249,3782,2693,1777,1350,55472,115781
"Whitlam","Participation rate (%)",72.7,69.2,68,69.7,70.4,70.7,75.3,78.4,81.8,86.4,88.8,89.7,90.3,89.8,84.4,78.1,80.1
"New South Wales (Total)","Total participants",52118,143088,141349,146259,149283,155857,167357,167745,177169,165382,155743,130540,89406,58246,48003,1947546,4122236
"New South Wales (Total)","Eligible participants",69996,204979,204397,210612,212888,214989,221908,213740,217769,195444,177828,145915,99697,66137,57894,2514194,5187681
"New South Wales (Total)","Participation rate (%)",74.5,69.8,69.2,69.4,70.1,72.5,75.4,78.5,81.4,84.6,87.6,89.5,89.7,88.1,82.9,77.5,79.5
"Aston","Total participants",1072,3225,2864,2760,2776,2818,3114,3266,3533,3202,2821,2088,1486,867,669,36561,78419
"Aston","Eligible participants",1362,4405,3975,3798,3804,3742,4014,4084,4272,3714,3200,2347,1653,992,821,46183,96083
"Aston","Participation rate (%)",78.7,73.2,72.1,72.7,73,75.3,77.6,80,82.7,86.2,88.2,89,89.9,87.4,81.5,79.2,81.6
"Ballarat","Total participants",1139,3198,3133,3097,3052,3387,3737,3699,4016,3915,3790,2921,1954,1237,912,43187,93351
"Ballarat","Eligible participants",1446,4720,4543,4270,4193,4437,4808,4586,4799,4473,4252,3243,2164,1382,1095,54411,114274
"Ballarat","Participation rate (%)",78.8,67.8,69,72.5,72.8,76.3,77.7,80.7,83.7,87.5,89.1,90.1,90.3,89.5,83.3,79.4,81.7
"Batman","Total participants",797,3125,4167,4608,4319,4153,4265,3457,3269,2748,2243,1888,1548,1238,1052,42877,93576
"Batman","Eligible participants",987,3982,5268,5783,5323,5154,5281,4238,3878,3242,2601,2177,1790,1492,1343,52539,111477
"Batman","Participation rate (%)",80.7,78.5,79.1,79.7,81.1,80.6,80.8,81.6,84.3,84.8,86.2,86.7,86.5,83,78.3,81.6,83.9
"Bendigo","Total participants",1072,2946,2803,2827,2833,3131,3577,3661,4091,4018,3979,3216,2188,1425,1103,42870,92597
"Bendigo","Eligible participants",1367,4278,4099,3929,3851,4129,4534,4454,4808,4598,4421,3546,2407,1576,1312,53309,111957
"Bendigo","Participation rate (%)",78.4,68.9,68.4,72,73.6,75.8,78.9,82.2,85.1,87.4,90,90.7,90.9,90.4,84.1,80.4,82.7
"Bruce","Total participants",892,2842,2587,2388,2509,2658,2963,3001,3031,2883,2725,2636,2192,1398,1064,35769,74104
"Bruce","Eligible participants",1164,4037,3842,3771,3774,3789,3999,3870,3829,3508,3230,3031,2462,1624,1274,47204,95365
"Bruce","Participation rate (%)",76.6,70.4,67.3,63.3,66.5,70.2,74.1,77.5,79.2,82.2,84.4,87,89,86.1,83.5,75.8,77.7
"Calwell","Total participants",1247,4081,3708,3349,3150,3220,3895,4163,3998,3462,2818,2361,1478,858,556,42345,87993
"Calwell","Eligible participants",1609,5515,5150,4826,4444,4452,5086,5238,4868,4102,3275,2737,1730,1010,694,54737,111581
"Calwell","Participation rate (%)",77.5,74,72,69.4,70.9,72.3,76.6,79.5,82.1,84.4,86,86.3,85.4,85,80.1,77.4,78.9
"Casey","Total participants",1089,3273,3319,3267,3170,3273,3655,3593,3772,3509,3204,2714,1662,986,727,41213,88419
